seed,num_agents,num_tasks,map_width,map_height,num_hazards,p_f,setup_time,calculation_time,success,total_runtime,error_message,experiment_type,pf_value
0,2,2,16,32,1,0.02,59.6893630027771,33.84488797187805,1.0,73.45515924924985,,2b_success_pf,0.02
1,2,2,16,32,1,0.02,59.815659284591675,33.97027349472046,1.0,73.8999952096492,,2b_success_pf,0.02
2,2,2,16,32,1,0.02,59.855239152908325,34.049657344818115,1.0,74.67783804703504,,2b_success_pf,0.02
3,2,2,16,32,1,0.02,59.731430768966675,33.899810791015625,0.9883333333333333,71.1473080967553,,2b_success_pf,0.02
4,2,2,16,32,1,0.02,55.9584596157074,32.23114562034607,0.62,68.22851026896387,,2b_success_pf,0.02
5,2,2,16,32,1,0.02,56.00338411331177,32.220266580581665,1.0,70.3627929049544,,2b_success_pf,0.02
6,2,2,16,32,1,0.02,55.38172364234924,32.176907539367676,0.9975,70.19092856906354,,2b_success_pf,0.02
7,2,2,16,32,1,0.02,57.411728620529175,32.81936478614807,1.0,71.65857642702758,,2b_success_pf,0.02
0,2,2,16,32,1,0.04,57.353442430496216,32.781883001327515,1.0,71.6001155860722,,2b_success_pf,0.04
1,2,2,16,32,1,0.04,58.395365715026855,32.95004320144653,1.0,72.06022361898795,,2b_success_pf,0.04
2,2,2,16,32,1,0.04,57.283894062042236,32.70033073425293,1.0,71.52203842904419,,2b_success_pf,0.04
3,2,2,16,32,1,0.04,57.17890191078186,32.438252210617065,0.9216666666666666,69.20226991130039,,2b_success_pf,0.04
4,2,2,16,32,1,0.04,57.37057590484619,32.606791257858276,0.2025,69.58666248014197,,2b_success_pf,0.04
5,2,2,16,32,1,0.04,57.60621953010559,32.90609383583069,1.0,71.51346066733822,,2b_success_pf,0.04
6,2,2,16,32,1,0.04,55.78139519691467,32.06523609161377,0.7958333333333333,70.23368997592479,,2b_success_pf,0.04
7,2,2,16,32,1,0.04,55.59029173851013,31.980639696121216,1.0,67.69726557284594,,2b_success_pf,0.04
0,2,2,16,32,1,0.06,57.47633171081543,32.82766652107239,1.0,71.63708239095286,,2b_success_pf,0.06
1,2,2,16,32,1,0.06,57.46143460273743,32.80090093612671,1.0,71.62498285714537,,2b_success_pf,0.06
2,2,2,16,32,1,0.06,57.579097270965576,33.041749238967896,0.9616666666666667,72.9569439268671,,2b_success_pf,0.06
3,2,2,16,32,1,0.06,60.78414964675903,34.98868656158447,0.77,73.05185669800267,,2b_success_pf,0.06
4,2,2,16,32,1,0.06,59.581530809402466,33.677287578582764,0.011666666666666667,71.50010134512559,,2b_success_pf,0.06
5,2,2,16,32,1,0.06,59.81210494041443,34.00108790397644,0.9991666666666666,74.15763231413439,,2b_success_pf,0.06
6,2,2,16,32,1,0.06,59.430588245391846,34.120410203933716,0.2925,74.08716686163098,,2b_success_pf,0.06
7,2,2,16,32,1,0.06,59.62687015533447,33.758081912994385,1.0,71.35316658206284,,2b_success_pf,0.06
0,2,2,16,32,1,0.08,59.72979974746704,33.85088086128235,1.0,73.39285384211689,,2b_success_pf,0.08
1,2,2,16,32,1,0.08,58.86060380935669,33.37050199508667,1.0,72.86476596118882,,2b_success_pf,0.08
2,2,2,16,32,1,0.08,58.423601388931274,33.3634819984436,0.735,73.38436265196651,,2b_success_pf,0.08
3,2,2,16,32,1,0.08,59.624274492263794,33.83367133140564,0.058333333333333334,71.60340505419299,,2b_success_pf,0.08
4,2,2,16,32,1,0.08,60.31757426261902,33.810532093048096,0.0008333333333333334,71.77207721024752,,2b_success_pf,0.08
5,2,2,16,32,1,0.08,59.332189321517944,33.85032677650452,0.9958333333333333,73.61213644687086,,2b_success_pf,0.08
6,2,2,16,32,1,0.08,59.659090757369995,33.8608934879303,0.04416666666666667,74.18273199116811,,2b_success_pf,0.08
7,2,2,16,32,1,0.08,59.65446710586548,33.74802851676941,1.0,71.57249814411625,,2b_success_pf,0.08
0,2,2,16,32,1,0.1,59.60726022720337,33.71763873100281,1.0,73.6824324731715,,2b_success_pf,0.1
1,2,2,16,32,1,0.1,59.59812617301941,33.83923816680908,1.0,73.58126939972863,,2b_success_pf,0.1
2,2,2,16,32,1,0.1,60.05857229232788,34.164555072784424,0.35583333333333333,74.57340947771445,,2b_success_pf,0.1
3,2,2,16,32,1,0.1,58.3248770236969,32.63982629776001,0.005,69.56064843991771,,2b_success_pf,0.1
4,2,2,16,32,1,0.1,57.440356492996216,32.70110058784485,0.0008333333333333334,71.81860525393859,,2b_success_pf,0.1
5,2,2,16,32,1,0.1,57.57220673561096,32.91667985916138,0.9708333333333333,71.8667757040821,,2b_success_pf,0.1
6,2,2,16,32,1,0.1,56.91970157623291,32.620025634765625,0.005,71.52165941521525,,2b_success_pf,0.1
7,2,2,16,32,1,0.1,56.31270885467529,32.17936825752258,1.0,68.37074003880844,,2b_success_pf,0.1
