map_scale,map_width,map_height,map_area,setup_time_mean,calculation_time_mean
8,8,16,128,2.1518073081970215,1.1503593921661377
12,12,24,288,14.892888069152832,8.265968084335327
16,16,32,512,62.794190406799316,34.791191816329956
20,20,40,800,170.48137426376343,94.0595109462738
24,24,48,1152,609.8263094425201,340.4522531032562
